"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"hsa-mir-329-1",1.48616332520341,-0.454170430672563,0.215265927681874,8.22955522478047e-05,0.000126799793493596
"hsa-mir-329-2",1.59845042188248,-0.623523119397488,0.19924319551625,4.79006815177678e-07,8.91582028250423e-07
"hsa-mir-330",92.2001587155599,0.747612672359131,0.0937442804123448,1.06378039164016e-15,3.28804848325139e-15
"hsa-mir-331",92.0182529228237,1.06411040097548,0.0937105059523957,3.89643258521089e-30,2.20797846495284e-29
"hsa-mir-335",542.607933106899,-1.63400255902721,0.160911426127674,1.17188835239369e-24,5.28905362584764e-24
"hsa-mir-337",204.075382297868,-1.65831692771524,0.155868042702924,7.48802714112373e-27,3.85746852724556e-26
"hsa-mir-338",700.594447340279,-0.0856590258569874,0.117321542381568,0.460462902195395,0.484198103339488
"hsa-mir-339",151.196346861943,-0.0624958173458656,0.0895393746472943,0.48312731791216,0.504907647818036
"hsa-mir-33a",56.1848306945979,1.94104912922336,0.136811754653715,3.72933682959562e-46,5.00516258708886e-45
"hsa-mir-33b",17.1400834785811,2.63427571376619,0.169059117043757,1.31831550494084e-55,2.92322133704272e-54
"hsa-mir-340",68.2308313840546,1.0413682131561,0.077725262804835,3.47017162115371e-41,3.33922174865734e-40
"hsa-mir-342",976.741749272502,1.26911483763446,0.140682829849114,1.13202590363012e-19,4.27654230260266e-19
"hsa-mir-345",70.8277018623698,1.47476468200056,0.128575397644172,5.55804530963338e-31,3.29605012548026e-30
"hsa-mir-34a",351.287718028747,-0.00755377316727526,0.0801831370210677,0.917893877733746,0.923325202454064
"hsa-mir-34b",6.92972630593492,0.00566154487394734,0.16011782753422,0.972024916356517,0.975851786105952
"hsa-mir-34c",32.0625854689612,0.0285126113365623,0.143700010173842,0.84202359697772,0.850360464274529
"hsa-mir-3605",11.7291069888307,0.237206865423348,0.138990662896297,0.0841044542391401,0.0984819482019868
"hsa-mir-3607",243.314451405792,0.647328098718507,0.147718518940209,1.13463521947948e-05,1.8666579417243e-05
"hsa-mir-361",941.124505508473,-0.151211083273938,0.0589259948244205,0.0101607782356158,0.01302009271398
"hsa-mir-3610",2.75410303282612,2.58600705487995,0.232490454615402,3.27269146164224e-31,1.9869912445685e-30
"hsa-mir-3613",30.1004133655163,0.979499658194061,0.0897840248369031,6.5988180865143e-28,3.50562210846072e-27
"hsa-mir-3614",10.1970002935225,1.28066393563219,0.163044860127816,1.52297967222474e-15,4.67903393273866e-15
"hsa-mir-3615",8.44620041190256,0.773747029717959,0.172668535312177,6.29294961057239e-06,1.05572509914208e-05
"hsa-mir-362",31.1092085868455,0.153737793066431,0.105761853894298,0.143732039896948,0.165470294238022
"hsa-mir-363",48.4206263305322,0.275945245962128,0.176255053005374,0.688209166820127,0.703380110377284
"hsa-mir-3651",3.68059105745042,1.32982635793638,0.220309612578568,4.58525812823641e-10,1.0533701105408e-09
"hsa-mir-3652",1.91187591457772,1.66105719857098,0.208731885646129,3.04401594142853e-16,9.64253496974254e-16
